country_name,country_code,first_year,last_year,n_years,missing_years_1990_2023,avg_life_exp
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1990,2023,34,0,67.03457469088235
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1990,2023,34,0,67.06496893058824
Middle income,MIC,1990,2023,34,0,68.3502634714706
Moldova,MDA,1990,2023,34,0,68.65894117647059
Monaco,MCO,1990,2023,34,0,83.53538235294117
Mongolia,MNG,1990,2023,34,0,66.13248421764706
Montenegro,MNE,1990,2023,34,0,74.88021807764706
Morocco,MAR,1990,2023,34,0,69.2365294117647
Mozambique,MOZ,1990,2023,34,0,53.40785294117647
Myanmar,MMR,1990,2023,34,0,62.12876470588236
Namibia,NAM,1990,2023,34,0,57.73576470588235
Nauru,NRU,1990,2023,34,0,60.21329411764706
Nepal,NPL,1990,2023,34,0,64.5109705882353
Netherlands,NLD,1990,2023,34,0,79.60787661470589
New Caledonia,NCL,1990,2023,34,0,74.69097058823529
New Zealand,NZL,1990,2023,34,0,79.6194691532353
Nicaragua,NIC,1990,2023,34,0,69.35508823529412
Niger,NER,1990,2023,34,0,53.159588235294116
Nigeria,NGA,1990,2023,34,0,49.599588235294114
North America,NAC,1990,2023,34,0,77.60079221970588
North Macedonia,MKD,1990,2023,34,0,73.78858034411765
Northern Mariana Islands,MNP,1990,2023,34,0,75.77197058823529
Norway,NOR,1990,2023,34,0,80.1918364417647
OECD members,OED,1990,2023,34,0,77.88344292088236
Oman,OMN,1990,2023,34,0,75.39826470588235
Other small states,OSS,1990,2023,34,0,68.48357068882353
Pacific island small states,PSS,1990,2023,34,0,67.36353744294118
Pakistan,PAK,1990,2023,34,0,63.42814705882353
Palau,PLW,1990,2023,34,0,66.4365
Panama,PAN,1990,2023,34,0,75.19067647058824
Papua New Guinea,PNG,1990,2023,34,0,62.64055882352941
Paraguay,PRY,1990,2023,34,0,71.10817647058823
Peru,PER,1990,2023,34,0,71.56041176470589
Philippines,PHL,1990,2023,34,0,68.03632352941177
Poland,POL,1990,2023,34,0,74.91814921058824
Portugal,PRT,1990,2023,34,0,78.28192252529412
Post-demographic dividend,PST,1990,2023,34,0,78.54200896176471
Pre-demographic dividend,PRE,1990,2023,34,0,55.063339604117644
Puerto Rico (US),PRI,1990,2023,34,0,77.36135294117648
Qatar,QAT,1990,2023,34,0,77.97273529411764
Romania,ROU,1990,2023,34,0,72.41657819235294
Russian Federation,RUS,1990,2023,34,0,68.3781133432353
Rwanda,RWA,1990,2023,34,0,55.37811764705882
Samoa,WSM,1990,2023,34,0,70.58979411764706
San Marino,SMR,1990,2023,34,0,82.0354705882353
Sao Tome and Principe,STP,1990,2023,34,0,63.683588235294124
Saudi Arabia,SAU,1990,2023,34,0,74.47688235294117
Senegal,SEN,1990,2023,34,0,62.07779411764706
Serbia,SRB,1990,2023,34,0,73.53274175058823
Seychelles,SYC,1990,2023,34,0,72.68687231000001
Sierra Leone,SLE,1990,2023,34,0,50.281294117647064
Singapore,SGP,1990,2023,34,0,79.93787661294118
Sint Maarten (Dutch part),SXM,1990,2023,34,0,74.50855882352941
Slovak Republic,SVK,1990,2023,34,0,74.5228407467647
Slovenia,SVN,1990,2023,34,0,77.76258967088235
Small states,SST,1990,2023,34,0,68.68453057882353
Solomon Islands,SLB,1990,2023,34,0,68.09691176470588
"Somalia, Fed. Rep.",SOM,1990,2023,34,0,50.00329411764706
South Africa,ZAF,1990,2023,34,0,60.6805294117647
South Asia,SAS,1990,2023,34,0,65.48711280882354
South Asia (IDA & IBRD),TSA,1990,2023,34,0,65.48711280882354
South Sudan,SSD,1990,2023,34,0,45.997882352941176
Spain,ESP,1990,2023,34,0,80.66725968499999
Sri Lanka,LKA,1990,2023,34,0,72.971
St. Kitts and Nevis,KNA,1990,2023,34,0,69.84376470588235
St. Lucia,LCA,1990,2023,34,0,71.87411764705882
St. Martin (French part),MAF,1990,2023,34,0,77.90088235294118
St. Vincent and the Grenadines,VCT,1990,2023,34,0,70.52276470588235
Sub-Saharan Africa,SSF,1990,2023,34,0,55.28211563
Sub-Saharan Africa (IDA & IBRD countries),TSS,1990,2023,34,0,55.28211563
Sub-Saharan Africa (excluding high income),SSA,1990,2023,34,0,55.141078611764705
Sudan,SDN,1990,2023,34,0,60.88032352941177
Suriname,SUR,1990,2023,34,0,67.3589705882353
Sweden,SWE,1990,2023,34,0,80.69571018647059
Switzerland,CHE,1990,2023,34,0,81.19199426088235
Syrian Arab Republic,SYR,1990,2023,34,0,70.32108823529411
Tajikistan,TJK,1990,2023,34,0,66.08120588235295
Tanzania,TZA,1990,2023,34,0,58.49394117647059
Thailand,THA,1990,2023,34,0,73.39632352941176
Timor-Leste,TLS,1990,2023,34,0,58.77447058823529
Togo,TGO,1990,2023,34,0,56.93367647058823
Tonga,TON,1990,2023,34,0,70.5035
Trinidad and Tobago,TTO,1990,2023,34,0,70.4985
Tunisia,TUN,1990,2023,34,0,73.28120588235295
Turkiye,TUR,1990,2023,34,0,73.5130588235294
Turkmenistan,TKM,1990,2023,34,0,66.75741176470588
Turks and Caicos Islands,TCA,1990,2023,34,0,75.19532352941177
Tuvalu,TUV,1990,2023,34,0,64.22767647058824
Uganda,UGA,1990,2023,34,0,56.602823529411765
