Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.54390244,83.24390244,82.94634146,83.34634146,83.49756098,82.19512195,82.64634146,82.7,83.35121951,83.95121951
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.214,72.052,71.879,71.606,71.532,71.452,69.085,71.481,71.479,71.606
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.06,75.55,76.071,76.491,76.865,75.583,74.204,77.088,77.814,77.981
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.56,84.44560976,83.99634146,84.04121951,84.03634146
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.024,72.549,72.996,73.369,73.658,71.195,70.131,73.503,74.402,74.531
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.279,62.526,62.725,62.825,62.939,61.596,61.225,63.549,63.646,63.834
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65121951,70.95121951,71.2,71.4,71.6,71.8,71.9,72.04878049,72.24878049,72.4
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,70.817
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.831,65.799,65.787,65.807,65.866,65.205,64.148,66.269,66.473,66.6
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.211,71.227,71.284,71.336,71.54,71.181,69.271,70.313,72.145,72.281
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.02439024,82.27560976,82.62682927,82.62682927,83.22682927,83.42682927,83.52682927,82.6804878,83.42926829,83.62926829
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.37656098,79.67758537,79.91607317,80.10636585,81.9697561,78.76097561,78.73658537,80.58780488,83.18780488,84.5804878
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.55539557,74.53064608,74.70065344,74.8906731,75.05135246,72.87592173,71.43770164,74.48972626,75.49860133,75.67308441
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.688,67.014,67.345,67.594,67.911,68.339,67.807,68.715,68.964,69.225
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.275,78.306,78.192,78.263,78.208,76.299,73.65,78.003,77.817,77.945
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.248,60.483,60.777,60.999,61.232,61.267,61.166,61.934,62.163,62.324
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.644,71.799,72.721,73.151,72.941,72.388,72.062,74.462,69.339,71.121
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.932,72.552,72.522,72.655,72.249,72.308,69.119,72.67,72.697,72.846
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.74322219,74.67748488,74.83180879,75.0527172,75.20425987,73.18893677,71.81417622,74.64720954,75.64352732,75.81791711
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.30497988,63.72379086,64.03405537,64.60233172,64.97250144,64.83249455,64.26741437,65.76320179,66.51610828,66.7055219
