country_code,country_name,region,income_group,year,u5_mort,is_outlier,life_exp,gdp
BGD,Bangladesh,South Asia,Lower middle income,2021,30.9,False,71.103,1702.08028414189
BGD,Bangladesh,South Asia,Lower middle income,2022,30.7,False,74.265,1804.3493461776
BGD,Bangladesh,South Asia,Lower middle income,2023,30.6,False,74.672,1885.37733613545
BGR,Bulgaria,Europe & Central Asia,High income,2015,8.2,False,74.61463415,7268.65445473873
BGR,Bulgaria,Europe & Central Asia,High income,2016,7.7,False,74.81219512,7586.50411050819
BGR,Bulgaria,Europe & Central Asia,High income,2017,7.3,False,74.81463415,7898.70693013652
BGR,Bulgaria,Europe & Central Asia,High income,2018,7.0,False,74.96341463,8194.37434587757
BGR,Bulgaria,Europe & Central Asia,High income,2019,6.7,False,75.11219512,8626.13418680372
BGR,Bulgaria,Europe & Central Asia,High income,2020,6.5,False,73.35609756,8440.08304721192
BGR,Bulgaria,Europe & Central Asia,High income,2021,6.3,False,71.21219512,9161.47737990726
BGR,Bulgaria,Europe & Central Asia,High income,2022,6.1,False,74.16097561,9597.86796406548
BGR,Bulgaria,Europe & Central Asia,High income,2023,5.9,False,75.75609756,9787.26510772747
BHR,Bahrain,Middle East & North Africa,High income,2015,7.7,False,80.338,23734.0551143019
BHR,Bahrain,Middle East & North Africa,High income,2016,7.6,False,80.407,23715.2791328712
BHR,Bahrain,Middle East & North Africa,High income,2017,7.7,False,80.407,23606.8867501313
BHR,Bahrain,Middle East & North Africa,High income,2018,7.7,False,80.412,24059.7838641562
BHR,Bahrain,Middle East & North Africa,High income,2019,7.8,False,80.471,24873.6640060134
BHR,Bahrain,Middle East & North Africa,High income,2020,8.0,False,78.683,23586.9309581516
BHR,Bahrain,Middle East & North Africa,High income,2021,8.2,False,78.083,24086.7847803428
BHR,Bahrain,Middle East & North Africa,High income,2022,8.4,False,80.992,25234.40256182
BHR,Bahrain,Middle East & North Africa,High income,2023,8.6,False,81.284,25342.6226641572
BHS,"Bahamas, The",Latin America & Caribbean,High income,2015,14.0,False,73.805,30719.405417469
BHS,"Bahamas, The",Latin America & Caribbean,High income,2016,13.8,False,74.042,30152.1619246021
BHS,"Bahamas, The",Latin America & Caribbean,High income,2017,13.7,False,74.031,30974.7477261317
BHS,"Bahamas, The",Latin America & Caribbean,High income,2018,13.5,False,74.062,31537.2423841956
BHS,"Bahamas, The",Latin America & Caribbean,High income,2019,24.3,False,71.408,31117.6299132391
BHS,"Bahamas, The",Latin America & Caribbean,High income,2020,13.3,False,72.994,24791.6704945106
BHS,"Bahamas, The",Latin America & Caribbean,High income,2021,13.1,False,70.752,29114.0597726386
BHS,"Bahamas, The",Latin America & Caribbean,High income,2022,12.9,False,74.491,32186.4575039237
BHS,"Bahamas, The",Latin America & Caribbean,High income,2023,12.7,False,74.552,33009.645615121
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2015,6.7,False,77.073,4662.25869219448
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2016,6.8,False,77.124,4876.53471495633
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2017,6.8,False,77.385,5099.81602856447
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2018,6.8,False,77.942,5360.25201017633
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2019,6.7,False,77.394,5583.29721276458
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2020,6.6,False,76.04,5490.75366635139
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2021,6.4,False,74.567,5995.54197590494
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2022,6.2,False,76.777,6327.16206849174
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2023,6.0,False,77.85,6493.32400514463
BLR,Belarus,Europe & Central Asia,Upper middle income,2015,4.1,False,73.62439024,5967.05595058777
BLR,Belarus,Europe & Central Asia,Upper middle income,2016,3.9,False,73.82682927,5811.20159182547
BLR,Belarus,Europe & Central Asia,Upper middle income,2017,3.6,False,74.12926829,5964.89668834561
BLR,Belarus,Europe & Central Asia,Upper middle income,2018,3.4,False,74.17560976,6165.91320019277
BLR,Belarus,Europe & Central Asia,Upper middle income,2019,3.1,False,74.22682927,6267.73508743505
BLR,Belarus,Europe & Central Asia,Upper middle income,2020,2.9,False,72.13856098,6251.98898968645
BLR,Belarus,Europe & Central Asia,Upper middle income,2021,2.7,False,72.07146341,6457.73053706343
BLR,Belarus,Europe & Central Asia,Upper middle income,2022,2.6,False,74.10336585,6206.61909685419
BLR,Belarus,Europe & Central Asia,Upper middle income,2023,2.4,False,74.18378049,6497.78450683592
BLZ,Belize,Latin America & Caribbean,Upper middle income,2015,15.6,False,71.647,6154.62264230369
BLZ,Belize,Latin America & Caribbean,Upper middle income,2016,15.0,False,71.843,6012.21296983668
BLZ,Belize,Latin America & Caribbean,Upper middle income,2017,14.4,False,72.062,5767.61921963762
BLZ,Belize,Latin America & Caribbean,Upper middle income,2018,13.9,False,72.322,5707.61059954436
BLZ,Belize,Latin America & Caribbean,Upper middle income,2019,13.5,False,72.577,5864.14611827109
BLZ,Belize,Latin America & Caribbean,Upper middle income,2020,13.2,False,71.58,5006.48453276935
BLZ,Belize,Latin America & Caribbean,Upper middle income,2021,13.0,False,70.917,5839.40157956017
BLZ,Belize,Latin America & Caribbean,Upper middle income,2022,12.8,False,72.19,6262.56088273674
BLZ,Belize,Latin America & Caribbean,Upper middle income,2023,12.8,False,73.566,6165.69414825936
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2015,26.7,False,67.205,2996.01289811344
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2016,25.0,False,67.392,3077.57057564766
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2017,23.4,False,67.536,3160.16421228968
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2018,22.0,False,67.699,3204.53670819124
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2019,20.6,False,67.82,3207.3869521223
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2020,19.3,False,62.906,2765.0927177231
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2021,18.2,False,61.427,3011.55110807557
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2022,17.3,False,67.434,3088.24126155241
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2023,16.4,False,68.581,3122.77049447823
BRA,Brazil,Latin America & Caribbean,Upper middle income,2015,16.0,False,75.106,8936.1955889444
BRA,Brazil,Latin America & Caribbean,Upper middle income,2016,16.8,False,75.081,8577.84277969667
BRA,Brazil,Latin America & Caribbean,Upper middle income,2017,15.4,False,75.383,8628.25209645723
BRA,Brazil,Latin America & Caribbean,Upper middle income,2018,15.2,False,75.633,8722.33529970988
BRA,Brazil,Latin America & Caribbean,Upper middle income,2019,15.0,False,75.809,8771.43950372603
BRA,Brazil,Latin America & Caribbean,Upper middle income,2020,14.9,False,74.506,8435.01046209185
BRA,Brazil,Latin America & Caribbean,Upper middle income,2021,14.7,False,73.038,8799.22844579944
BRA,Brazil,Latin America & Caribbean,Upper middle income,2022,14.6,False,74.872,9032.08377657776
BRA,Brazil,Latin America & Caribbean,Upper middle income,2023,14.4,False,75.848,9288.02594608687
BRB,Barbados,Latin America & Caribbean,High income,2015,12.8,False,76.055,20424.2087530019
BRB,Barbados,Latin America & Caribbean,High income,2016,12.4,False,76.168,20684.7801825176
BRB,Barbados,Latin America & Caribbean,High income,2017,12.1,False,76.237,20788.7046543161
BRB,Barbados,Latin America & Caribbean,High income,2018,11.8,False,76.378,20483.9550976366
BRB,Barbados,Latin America & Caribbean,High income,2019,11.4,False,76.495,20494.3871602646
BRB,Barbados,Latin America & Caribbean,High income,2020,11.1,False,76.647,17519.837062872
BRB,Barbados,Latin America & Caribbean,High income,2021,10.7,False,76.58,17475.0281776857
BRB,Barbados,Latin America & Caribbean,High income,2022,10.4,False,75.676,20472.9494048647
BRB,Barbados,Latin America & Caribbean,High income,2023,10.1,False,76.178,21068.2610447067
BRN,Brunei Darussalam,East Asia & Pacific,High income,2015,10.7,False,74.88,30625.1287744656
BRN,Brunei Darussalam,East Asia & Pacific,High income,2016,10.7,False,74.905,29492.4145927789
BRN,Brunei Darussalam,East Asia & Pacific,High income,2017,10.7,False,74.943,29524.65912789
BRN,Brunei Darussalam,East Asia & Pacific,High income,2018,10.6,False,74.992,29200.1952024222
BRN,Brunei Darussalam,East Asia & Pacific,High income,2019,10.5,False,75.049,29996.2407223175
BRN,Brunei Darussalam,East Asia & Pacific,High income,2020,10.4,False,75.114,30015.9588506697
BRN,Brunei Darussalam,East Asia & Pacific,High income,2021,10.3,False,74.869,29256.1833678343
BRN,Brunei Darussalam,East Asia & Pacific,High income,2022,10.2,False,72.917,28549.1756060465
BRN,Brunei Darussalam,East Asia & Pacific,High income,2023,10.1,False,75.327,28645.9645396284
BTN,Bhutan,South Asia,Lower middle income,2015,29.2,False,70.797,2954.04081911097
BTN,Bhutan,South Asia,Lower middle income,2016,27.4,False,71.119,3173.36773217431
BTN,Bhutan,South Asia,Lower middle income,2017,25.8,False,71.413,3211.80903275593
BTN,Bhutan,South Asia,Lower middle income,2018,24.2,False,71.711,3300.55006461736
BTN,Bhutan,South Asia,Lower middle income,2019,22.7,False,72.005,3467.38598979356
BTN,Bhutan,South Asia,Lower middle income,2020,21.3,False,72.253,3092.12428399363
BTN,Bhutan,South Asia,Lower middle income,2021,20.0,False,72.448,3206.20366997254
BTN,Bhutan,South Asia,Lower middle income,2022,19.0,False,72.754,3349.73309632799
BTN,Bhutan,South Asia,Lower middle income,2023,18.0,False,72.975,3480.51388574877
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2015,46.7,False,63.215,6141.20394726616
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2016,45.1,False,64.32,6490.83463593483
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2017,42.1,False,65.42,6662.57644805467
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2018,41.2,False,66.371,6843.84612027739
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2019,40.0,False,67.167,6951.73189051146
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2020,38.9,False,67.643,6254.24806241091
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2021,37.1,False,63.303,6895.91184943107
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2022,35.7,False,68.749,7159.5860618268
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2023,34.6,False,69.163,7269.05170664457
CAF,Central African Republic,Sub-Saharan Africa,Low income,2015,113.7,False,51.934,366.322853938121
CAF,Central African Republic,Sub-Saharan Africa,Low income,2016,126.8,False,50.999,376.858254120398
CAF,Central African Republic,Sub-Saharan Africa,Low income,2017,155.2,False,45.231,387.35795131742
CAF,Central African Republic,Sub-Saharan Africa,Low income,2018,120.2,False,52.297,395.020015455909
CAF,Central African Republic,Sub-Saharan Africa,Low income,2019,254.7,False,31.53,401.82582161435
CAF,Central African Republic,Sub-Saharan Africa,Low income,2020,124.2,False,50.596,398.834274122139
CAF,Central African Republic,Sub-Saharan Africa,Low income,2021,178.7,False,40.279,396.020622931961
CAF,Central African Republic,Sub-Saharan Africa,Low income,2022,424.6,True,18.818,398.91539795642
CAF,Central African Republic,Sub-Saharan Africa,Low income,2023,92.6,False,57.408,397.467795750451
CAN,Canada,North America,High income,2015,5.3,False,81.82585366,43594.1941045394
CAN,Canada,North America,High income,2016,5.3,False,81.94,43551.3425975115
CAN,Canada,North America,High income,2017,5.2,False,81.80780488,44339.3886689254
CAN,Canada,North America,High income,2018,5.2,False,81.80365854,44907.3436912123
CAN,Canada,North America,High income,2019,5.2,False,82.15853659,45100.2915069262
CAN,Canada,North America,High income,2020,5.2,False,81.53,42366.1285377884
CAN,Canada,North America,High income,2021,5.2,False,81.45146341,44639.193269037
CAN,Canada,North America,High income,2022,5.3,False,81.09487805,45677.686578804
CAN,Canada,North America,High income,2023,5.4,False,81.62634146,45048.2842408265
CHE,Switzerland,Europe & Central Asia,High income,2015,4.3,False,82.89756098,83806.4476003837
CHE,Switzerland,Europe & Central Asia,High income,2016,4.2,False,83.60243902,84611.0998672721
CHE,Switzerland,Europe & Central Asia,High income,2017,4.1,False,83.55121951,84967.5886498224
CHE,Switzerland,Europe & Central Asia,High income,2018,4.1,False,83.75365854,86756.6022327472
CHE,Switzerland,Europe & Central Asia,High income,2019,4.0,False,83.90487805,87123.6604234257
CHE,Switzerland,Europe & Central Asia,High income,2020,4.0,False,83.0,84637.0132935333
CHE,Switzerland,Europe & Central Asia,High income,2021,4.0,False,83.75121951,88661.2029776281
CHE,Switzerland,Europe & Central Asia,High income,2022,3.9,False,83.60487805,90605.019427268
CHE,Switzerland,Europe & Central Asia,High income,2023,3.9,False,84.15609756,90077.4460280731
CHL,Chile,Latin America & Caribbean,High income,2015,7.9,False,80.008,13433.9202987032
CHL,Chile,Latin America & Caribbean,High income,2016,7.7,False,80.295,13505.097711133
CHL,Chile,Latin America & Caribbean,High income,2017,7.6,False,80.61,13473.3458532934
CHL,Chile,Latin America & Caribbean,High income,2018,7.3,False,80.559,13763.0068844795
CHL,Chile,Latin America & Caribbean,High income,2019,7.0,False,80.324,13630.5935435578
CHL,Chile,Latin America & Caribbean,High income,2020,6.8,False,79.349,12679.024004022
CHL,Chile,Latin America & Caribbean,High income,2021,6.7,False,78.876,14051.4713630677
CHL,Chile,Latin America & Caribbean,High income,2022,6.8,False,79.176,14283.1489501524
CHL,Chile,Latin America & Caribbean,High income,2023,6.9,False,81.167,14280.3475638842
CHN,China,East Asia & Pacific,Upper middle income,2015,10.7,False,76.975,8175.33285077393
CHN,China,East Asia & Pacific,Upper middle income,2016,10.0,False,77.214,8679.37704460133
