country_code,country,year,u5_mort,income_group,adol_fert,life_exp,u5_mort_lag5
GNB,Guinea-Bissau,2020,76.7,Low income,85.874,61.343,91.6
GNB,Guinea-Bissau,2021,74.3,Low income,84.568,61.653,88.2
GNB,Guinea-Bissau,2022,72.0,Low income,83.159,63.605,85.1
GNB,Guinea-Bissau,2023,69.7,Low income,81.981,64.085,82.2
GNQ,Equatorial Guinea,2020,77.9,Upper middle income,156.024,62.141,92.1
GNQ,Equatorial Guinea,2021,75.1,Upper middle income,154.136,62.447,89.0
GNQ,Equatorial Guinea,2022,72.8,Upper middle income,152.146,63.355,86.1
GNQ,Equatorial Guinea,2023,70.4,Upper middle income,150.442,63.707,83.2
GRC,Greece,2020,4.1,High income,8.35,81.28780488,4.3
GRC,Greece,2021,4.0,High income,7.886,80.08292683,4.3
GRC,Greece,2022,4.0,High income,6.941,80.78780488,4.3
GRC,Greece,2023,3.9,High income,7.044,81.73658537,4.2
GRD,Grenada,2020,18.6,Upper middle income,30.369,75.019,17.5
GRD,Grenada,2021,18.7,Upper middle income,29.652,74.522,17.8
GRD,Grenada,2022,18.5,Upper middle income,29.357,75.151,18.1
GRD,Grenada,2023,18.3,Upper middle income,29.088,75.205,18.3
GTM,Guatemala,2020,23.5,Upper middle income,72.461,69.971,28.1
GTM,Guatemala,2021,22.7,Upper middle income,70.295,67.858,27.0
GTM,Guatemala,2022,21.9,Upper middle income,69.116,71.206,26.1
GTM,Guatemala,2023,21.2,Upper middle income,68.269,72.602,25.1
GUY,Guyana,2020,28.6,High income,74.211,67.751,33.3
GUY,Guyana,2021,27.8,High income,72.781,64.323,32.4
GUY,Guyana,2022,26.9,High income,71.313,69.888,31.4
GUY,Guyana,2023,26.0,High income,69.927,70.18,30.5
HND,Honduras,2020,17.1,Lower middle income,84.334,70.864,20.3
HND,Honduras,2021,16.5,Lower middle income,83.508,69.492,19.6
HND,Honduras,2022,16.0,Lower middle income,82.781,72.715,18.9
HND,Honduras,2023,15.5,Lower middle income,82.079,72.884,18.2
HRV,Croatia,2020,4.7,High income,7.57,77.52439024,4.9
HRV,Croatia,2021,4.6,High income,7.542,76.42439024,4.9
HRV,Croatia,2022,4.6,High income,6.945,77.57560976,4.8
HRV,Croatia,2023,5.1,High income,6.57,78.47317073,4.8
HTI,Haiti,2020,59.8,Lower middle income,52.578,63.773,69.1
HTI,Haiti,2021,58.1,Lower middle income,51.509,62.613,67.2
HTI,Haiti,2022,56.2,Lower middle income,50.589,63.948,65.3
HTI,Haiti,2023,54.4,Lower middle income,49.775,64.936,63.4
HUN,Hungary,2020,4.0,High income,21.318,75.4195122,5.1
HUN,Hungary,2021,4.0,High income,19.787,74.06585366,4.7
HUN,Hungary,2022,3.9,High income,18.766,75.86829268,4.5
HUN,Hungary,2023,3.8,High income,17.537,76.57073171,4.3
IDN,Indonesia,2020,20.8,Upper middle income,27.176,68.817,26.1
IDN,Indonesia,2021,19.9,Upper middle income,26.824,67.452,25.0
IDN,Indonesia,2022,19.1,Upper middle income,26.581,70.925,23.8
IDN,Indonesia,2023,18.4,Upper middle income,26.419,71.146,22.8
IND,India,2020,33.0,Lower middle income,14.423,70.156,43.7
IND,India,2021,31.2,Lower middle income,14.289,67.282,41.3
IND,India,2022,29.5,Lower middle income,14.185,71.698,39.0
IND,India,2023,28.0,Lower middle income,14.06,72.003,36.9
IRL,Ireland,2020,3.5,High income,5.027,82.45609756,3.7
IRL,Ireland,2021,3.6,High income,4.798,82.25365854,3.6
IRL,Ireland,2022,3.7,High income,4.151,82.5097561,3.5
IRL,Ireland,2023,3.8,High income,4.069,82.80731707,3.4
IRN,"Iran, Islamic Rep.",2020,13.0,Upper middle income,26.989,74.141,15.5
IRN,"Iran, Islamic Rep.",2021,12.6,Upper middle income,26.445,73.752,14.9
IRN,"Iran, Islamic Rep.",2022,12.1,Upper middle income,26.291,76.799,14.4
IRN,"Iran, Islamic Rep.",2023,11.7,Upper middle income,26.204,77.654,13.9
IRQ,Iraq,2020,24.9,Upper middle income,61.747,69.651,29.3
IRQ,Iraq,2021,24.0,Upper middle income,60.371,70.704,28.4
IRQ,Iraq,2022,23.3,Upper middle income,58.979,72.037,27.5
IRQ,Iraq,2023,22.5,Upper middle income,58.006,72.324,26.5
ISL,Iceland,2020,2.8,High income,4.408,83.06341463,2.6
ISL,Iceland,2021,2.9,High income,4.15,83.16585366,2.6
ISL,Iceland,2022,2.9,High income,3.515,82.1195122,2.7
ISL,Iceland,2023,2.9,High income,3.369,82.45609756,2.7
ISR,Israel,2020,3.5,High income,6.918,82.64878049,3.9
ISR,Israel,2021,3.5,High income,6.759,82.5,3.8
ISR,Israel,2022,3.4,High income,6.737,82.7,3.7
ISR,Israel,2023,3.4,High income,6.204,83.19512195,3.7
ITA,Italy,2020,3.0,High income,3.295,82.19512195,3.5
ITA,Italy,2021,2.9,High income,3.016,82.64634146,3.4
ITA,Italy,2022,2.8,High income,2.988,82.7,3.3
ITA,Italy,2023,2.8,High income,2.852,83.35121951,3.2
JAM,Jamaica,2020,18.7,Upper middle income,36.813,71.452,18.7
JAM,Jamaica,2021,18.6,Upper middle income,36.807,69.085,18.7
JAM,Jamaica,2022,18.4,Upper middle income,36.812,71.481,18.7
JAM,Jamaica,2023,18.1,Upper middle income,36.541,71.479,18.7
JOR,Jordan,2020,14.5,Lower middle income,20.981,75.583,16.5
JOR,Jordan,2021,14.1,Lower middle income,19.418,74.204,16.1
JOR,Jordan,2022,13.7,Lower middle income,18.875,77.088,15.7
JOR,Jordan,2023,13.3,Lower middle income,18.425,77.814,15.3
JPN,Japan,2020,2.4,High income,2.503,84.56,2.8
JPN,Japan,2021,2.4,High income,2.088,84.44560976,2.7
JPN,Japan,2022,2.4,High income,1.821,83.99634146,2.6
JPN,Japan,2023,2.4,High income,1.737,84.04121951,2.5
KAZ,Kazakhstan,2020,10.1,Upper middle income,21.962,71.195,11.9
KAZ,Kazakhstan,2021,10.0,Upper middle income,21.952,70.131,11.0
KAZ,Kazakhstan,2022,9.8,Upper middle income,18.412,73.503,10.5
KAZ,Kazakhstan,2023,9.6,Upper middle income,18.235,74.402,10.3
KEN,Kenya,2020,42.1,Lower middle income,59.38,61.596,46.8
KEN,Kenya,2021,41.3,Lower middle income,59.513,61.225,45.5
KEN,Kenya,2022,40.5,Lower middle income,57.272,63.549,44.7
KEN,Kenya,2023,39.6,Lower middle income,56.313,63.646,43.7
KGZ,Kyrgyz Republic,2020,17.8,Lower middle income,32.51,71.8,22.3
KGZ,Kyrgyz Republic,2021,17.5,Lower middle income,29.623,71.9,21.1
KGZ,Kyrgyz Republic,2022,17.3,Lower middle income,28.854,72.04878049,20.0
KGZ,Kyrgyz Republic,2023,17.0,Lower middle income,28.324,72.24878049,19.0
KHM,Cambodia,2020,21.8,Lower middle income,48.594,70.059,29.6
KHM,Cambodia,2021,20.8,Lower middle income,47.847,69.301,27.5
KHM,Cambodia,2022,19.9,Lower middle income,47.089,70.528,25.6
KHM,Cambodia,2023,19.1,Lower middle income,46.89,70.668,24.1
